year,gender,name,n
2019,female,LUKRECJA,343
2019,female,VASYLYNA,343
2019,female,GRACJA,342
2019,female,SOFIYA,342
2019,female,NOA,341
2019,female,JASMINE,338
2019,female,YANINA,336
2019,female,MARIJA,335
2019,female,NICOLETTA,335
2019,female,WIELISŁAWA,335
2019,female,LUBOW,334
2019,female,RYTA,334
2019,female,SERAFINA,334
2019,female,THI,334
2019,female,TINA,334
2019,female,HERONIMA,333
2019,female,LUCJANNA,332
2019,female,ALIAKSANDRA,331
2019,female,MARGARET,328
2019,female,YEVA,326
2019,female,CHRISTINA,323
2019,female,PAOLA,323
2019,female,ANDRZELIKA,322
2019,female,ELINA,321
2019,female,KESJA,320
2019,female,LESYA,318
2019,female,ISABELLE,317
2019,female,AŁŁA,315
2019,female,ANNE,315
2019,female,SOLOMIIA,315
2019,female,ŻANNA,314
2019,female,AMINA,313
2019,female,"NADINE",313
2019,female,KSAWERA,311
2019,female,SAMIRA,311
2019,female,STEPHANIE,305
2019,female,MICHAL,300
2019,female,TAISA,299
2019,female,VERANIKA,299
2019,female,AMY,297
2019,female,INGRYDA,297
2019,female,HIACYNTA,296
2019,female,ISABEL,293
2019,female,TAMAR,293
2019,female,AIDA,292
2019,female,WERA,292
2019,female,ALOJZA,290
2019,female,AURELA,290
2019,female,IRMGARD,289
2019,female,LIANA,289
2019,female,MATILDA,287
2019,female,FRANCESCA,286
2019,female,JOLENTA,286
2019,female,RACHELA,286
2019,female,KAROLA,285
2019,female,LEONA,284
2019,female,LEONORA,279
2019,female,AMELIE,278
2019,female,EMILIE,278
2019,female,JULIE,278
2019,female,GAIA,277
2019,female,AKSANA,276
2019,female,LAURENCJA,275
2019,female,IANA,274
2019,female,LIA,274
2019,female,ROKSOLANA,274
2019,female,ARLENA,272
2019,female,RACHEL,271
2019,female,HILDA,269
2019,female,YASMIN,269
2019,female,CHLOE,268
2019,female,MAIIA,268
2019,female,ELENI,267
2019,female,IRENE,267
2019,female,DORIS,265
2019,female,MIRONA,265
2019,female,SONJA,265
2019,female,VALERIA,265
