name,count,gender,area,age
Bjorn,3620,male,flanders,18-64
Lotte,3617,female,flanders,18-64
Kristien,3615,female,flanders,18-64
Senne,3606,male,flanders,0-17
Nadine,3597,female,wallonia,65-inf
Herman,3597,male,flanders,18-64
Lucienne,3593,female,flanders,65-inf
Emma,3585,female,flanders,18-64
Bernadette,3580,female,wallonia,18-64
Iris,3578,female,flanders,18-64
Silke,3572,female,flanders,18-64
Claude,3567,male,wallonia,18-64
Dorien,3565,female,flanders,18-64
Hendrik,3563,male,flanders,18-64
Mark,3562,male,flanders,18-64
Serge,3559,male,flanders,18-64
Joannes,3556,male,flanders,65-inf
Adam,3550,male,flanders,0-17
Amber,3544,female,flanders,18-64
Catherine,3542,female,flanders,18-64
Brecht,3532,male,flanders,18-64
Anne-Marie,3529,female,wallonia,65-inf
Monique,3527,female,wallonia,18-64
Anita,3522,female,flanders,65-inf
Arlette,3501,female,flanders,65-inf
Viviane,3501,female,flanders,65-inf
Femke,3496,female,flanders,18-64
Jean-Luc,3493,male,wallonia,18-64
Tania,3491,female,flanders,18-64
Jean-Marc,3490,male,wallonia,18-64
Paul,3488,male,wallonia,65-inf
Manon,3487,female,wallonia,0-17
Irène,3487,female,flanders,65-inf
Dennis,3485,male,flanders,18-64
Francis,3481,male,wallonia,18-64
Diane,3480,female,flanders,18-64
Ingrid,3472,female,flanders,65-inf
Ronald,3471,male,flanders,18-64
Zoé,3468,female,wallonia,0-17
Ethan,3467,male,wallonia,0-17
Kimberly,3467,female,flanders,18-64
Yvette,3464,female,flanders,65-inf
Mohammed,3463,male,flanders,18-64
Wilfried,3454,male,flanders,65-inf
Maxime,3453,male,wallonia,0-17
Tony,3453,male,flanders,18-64
Florian,3451,male,wallonia,18-64
Fabienne,3436,female,flanders,18-64
Griet,3426,female,flanders,18-64
Evy,3425,female,flanders,18-64
Ahmed,3422,male,flanders,18-64
Elza,3419,female,flanders,65-inf
Conny,3418,female,flanders,18-64
Gerda,3411,female,flanders,65-inf
Daisy,3411,female,flanders,18-64
Ludovicus,3411,male,flanders,65-inf
Anaïs,3402,female,wallonia,18-64
Johnny,3401,male,flanders,18-64
Anna,3398,female,flanders,0-17
Hubert,3385,male,flanders,65-inf
Olivia,3380,female,flanders,0-17
Francis,3371,male,flanders,18-64
Ria,3369,female,flanders,18-64
Mila,3368,female,flanders,0-17
Hélène,3366,female,wallonia,18-64
Hendrik,3365,male,flanders,65-inf
Josette,3363,female,wallonia,65-inf
Mohammed,3359,male,brussels,18-64
Leo,3355,male,flanders,65-inf
Jean-Pierre,3353,male,wallonia,18-64
Albert,3349,male,wallonia,65-inf
Marianne,3334,female,wallonia,18-64
Marie,3327,female,brussels,18-64
Jimmy,3327,male,flanders,18-64
Ludo,3324,male,flanders,18-64
Arlette,3315,female,wallonia,65-inf
Jeanne,3313,female,wallonia,65-inf
Jean-Marie,3312,male,wallonia,65-inf
Jordy,3310,male,flanders,18-64
Nicolas,3309,male,brussels,18-64
